Kuala Lumpur, Malaysia	ICMME - Ei 2017,DaEng 2013,ICSN 2017,ICCRI 2018,BDI 2013,,
Kuantan, Malaysia	ICSCA - ACM 2018,,
Kyoto	AMBN 2017,,
Kyoto, Japan	DS 2017,GECCO 2018,,
La Habana, Cuba	CICCI 2013,,
Lago Di Garda, Trento, Italy	VLDB 2013,,
Laguna Hills, CA	ICSC 2018,,
Lanzarote, Spain	ALT 2018,,
Las Vegas	ITNG 2018,,
Leipzig, Germany	SPECOM 2018,WI 2017,,
Leon Spain	HPCAC 2016,,
Limassol, Cyprus	IUI 2017,,
Lisbon	IDEAS 2011,IDEAS 2011,,
Lisbon, Portugal	DILS 2014,ICBBT- Ei 2017,,
Liverpool, United Kingdom	IML 2017,,
Lodz, Poland	KAM 2015,ICIA 2013,,
Logro�o (La Rioja) Spain	HAIS 2017,,
Lome/Togo	IREHI 2017,,
London	RuleML+RR 2017,ICAIL 2017,,
London UK	MOCO 2017,,
London, UK	ICIIP 2017,ICCBDC - ACM 2017,ICCBDC 2017,IDA 2017,BDIOT - ACM 2017,IUPT 2015,,
London, United Kingdom	IEEE - ICKEA 2017,,
Long Beach, CA, USA	NIPS 2017,,
Long Beach, California	NIPS-CAI 2017,,
Los Angeles, CA	GISCUP 2017,SIGSPATIAL 2017,,
Los Angeles, California, USA	ICMLA 2016,,
Los Cabos, Mexico	SISAP  2014,,
Luxembourg	DILS 2017,,
Lyon, France	DaWaK 2017,,
MALAYSIA	CSPA 2018,,
Maastricht, the Netherlands	CIG 2018,,
Macau, China	Oriental COCOSDA 2012,ACM - ICMLC 2018,ACM - ICBDM 2018,,
Madeira	Sideways 2017,,
Madrid	ICCST 2017,,
Madrid, Spain	COMPRAIL 2016,ICINCO 2017,DATA 2017,,
Malang, Indonesia	ICACSIS 2016,,
Malatya, Turkey	IDAP 2017,,
Maldives	ICOAR  2018,,
Manila, Philippines	MACE - Ei 2018,ICICC  2018,,
Maratea, Italy	SEBD 2011,,
Marburg, Germany	SUM 2012,,
Marco Island	CBR@FLAIRS 2017,RecSys@FLAIRS 2017,,
Marco Island, Florida	EAST - FLAIRS 2017,FLAIRS 2017,,
Marrakech, Morocco	ACM SAC-RS 2017,AECIA 2016,DATA STREAMS TRACK 2017,,
Mashhad,Iran	ITPF 2016,,
Massachusetts Institute of Technology, C	L@S 2017,,
Matsue, Japan	ICISIP 2018,,
Maui, USA	CIKM 2012,CIKM Posters 2012,,
Maun, Botswana	LPAR 2017,,
Mauritius	NextComp 2017,,
Melaka, Malaysia	ISCIA 2017,,
Melbourne	COMLACO 2017,ADC 2015,IIP 2016,,
Melbourne, Australia	EMSA 2018,SIGMOD 2015,AusDM 2017,CICLOPS 2017,IJCAI 2017,SAT 2017,AGI 2017,AI 2017,PAKDD 2018,ACL 2018,CCSEA 2018,,
Melbourne, FL, USA	DM_FLAIRS 2018,FLAIRS 2018,,
Melbourne, Florida	SLIE 2018,,
Menlo Park, CA	XLDB 2011,,
Merida, Mexico	ISICS 2018,,
Metropolitan College, Greece	ICCTIM 2017,,
Mexico City	CORE 2017,,
Miami, USA	GCAI 2017,,
Milan, Italy	ISDSA 2016,,
Minsk, Belarus	ISNN 2018,,
Mons, Belgium	TIME 2017,,
Montreal, Canada	ITS 2018,DSAA 2016,GlobalSIP 2017,IPTA 2017,Balisage 2011,IEEE DSAA&apos;2016,,
Montreal, Quebec	DILS 2013,ICPRAI 2018,,
Moscow, Russia	WISE 2017,AIST 2017,ICKEA 2018,SYRCoDIS 2012,ICMSC - Ei 2018,DIPDMWC 2016,,
Mountain View, CA, USA	DocEng 2011,,
Munich, Germany	ECCV 2018,DaWaK 2014,SSTD 2013,Algorithmic news 2018,,
M�laga	Smart-CT 2017,,
NEW ORLEANS, USA	ICDM 2017,,
Nagoya, Japan	IEEE-ICCAR 2017,ICRIC 2018,ICCRE 2018,ICMEAE 2018,ICCCS 2018,ICFCC - Ei 2017,,
Naiguat�, VENEZUELA	CLEI 2013,CLTM 2013,CIESC 2013,,
Nanjing	CyberC 2017,,
Nanjing and Tai&#8217;an, China	RO-MAN 2018,,
Naples	CILC 2017,,
New Delhi	VLDB 2016,,
New Jersey, USA	ICCBB - Ei 2017,,
New Orleans	DMCS 2017,,
New Orleans, Louisiana	NAACL HLT 2018,AAAI 2018,,
New York	SIGMOD 2013,ICDM 2018,DSA 2018,MLDM 2018,,
New York City, USA	FAT* 2018,,
New York, USA	PODS 2013,GRADES 2013,MLDM 2017,,
NhaTrang, Vietnam	CSBio 2017,SoICT 2017,,
Nice, France	ISDM 2017,HealTech 2017,,
Nicosia, Cyprus	ADBIS 2017,,
Odisha, India	ICCIDM 2014,,
Oldenburg, Lower Saxony, Germany	EnviroInfo 2014,,
Olsztyn, Poland	IJCRS 2017,,
Olten, Switzerland	ISCBI 2016,,
Online	ECSA 2016,ISMIS 2017 DM Competition 2017,,
Opatija, Croatia	miproBIS 2013,,
Orange Gardens, Paris area, France	DRCN 2018,,
Orl�ans - France	PLP 2017,,
Osaka, Japan	ICINT  2018,RDA 2018,ACM - ICBDR 2017,,
Ouagadougou, Burkina Faso (West Africa)	AFRICOMM 2016,,
Palais des Congr�s Neptune, Toulon, France	ICLR 2017,,
Paphos, Cyprus	WISE 2012,CSE 2012,,
Paris, France	DSAA 2015,KEOD 2011,ICMERR 2017,,
Part of BioNLP 2017 (Vancouver, Canada)	BioASQ 2017,,
Patras	BFAL 2017,,
Pau, France	ACM SAC-COCO 2018,ACM SAC-RS 2018,KRR@SAC 2018,,
Penang, Malaysia	ICKD 2017,ISCI 2012,,
Petrozavodsk, Russia	IEEE FRUCT 2018,,
Phnom Penh, Cambodia	ICOAS - EI 2017,,
Phuket, Thailand	ICAPM , EI 2018,ICMAM - Ei 2017,ICMM 2018,ISMSI 2018,,
Phuoc Island, Vietnam	ACM - ICMLSC 2018,,
Playa Blanca, Lanzarote	AISTATS 2018,,
Poitiers, Futuroscope, France	MEDI 2012,,
Poland	ICCMIT 2017,,
Polanica Zdroj, Poland	CORES 2017,,
Porto	AITS@EPIA 2017,ITBAM 2016,MASTA@EPIA 2017,,
Porto, Portugal	DCAI 2017,ICPRAM 2017,ICDIM 2016,AICPDES 2017,AIM@EPIA 2017,,
Portoroz, Slovenia	ESWC 2017,,
Poznan, Poland	DEW 2017,MCSD 2012,BDAS 2018,,
Prague	ICAIR 2017,TSD 2017,IDEAS 2012,VS3 2017,,
Prague, Czech Republic	FedCSIS 2017,ACM--ICSSE 2018,AAIA 2017,ICCAIRO 2017,ICGDA 2018,DEXA 2013,DaWaK 2013,,
Puebla, Mexico	LKE 2017,,
Pune, India	ICRACA 2017,COMAD 2012,COMAD 2016,,
Quebec, Canada	LABELS 2017,SUM 2015,,
Quito - Ecuador	INCISCOS 2017,INCISCOS 2016,,
Rabat	INTECH 2012,,
Rabat, Morocco	MedPRAI 2018,LOPAL 2018,,
Raleigh	SIGMOD 2017,,
Raleigh, U.S.	CSPRED 2016,SBD 2017,,
Reggio di Calabria	MALHE 2017,CD-MAKE 2017,PAML 2017,,
Republic of Mauritius	ISCMI - IEEE 2017,,
Reunion Island	DBKDA 2012,,
Rhodes island Greece	AIAI 2018,,
Riga, Latvia	Archiving 2017,DB&IS 2016,,
Rio de Janeiro, Brazil	PQ 2016,,
Riva del Garda	MLSA 2016,,
Riyadh, Saudi Arabia	KACSTIT 2016,,
Roccella Jonica (RC) - ITALY	SEBD 2013,,
Rome	TRAP 2017,,
Rome, Italy	ICE-B 2012,DCNET 2012,DATA 2012,NIMD 2012,,
Rotterdam, Netherlands	DBDBD 2013,,
SALT LAKE CITY, UTAH	CVPR 2018,,
Salzburg, Austria	iDSC 2017,,
San Diego	ICDE 2017,,
San Diego, California, USA	ICME 2018,,
San Diego, USA	SDM 2018,,
San Francisco	DSCI 2017,SIGMOD 2016,,
San Jose, CA	SoCC 2013,,
Santa Clara, CA, USA	ICWS 2013,,
Santa Clara, California, USA	SoCC 2016,,
Santa Fe, New Mexico, USA.	COSIT 2015,,
Santiago, Chile	BAFI 2018,,
Sao Paulo, Brazil	ADMI 2017,SBBD 2012,,
Scottsdale, Arizona, USA	PODS 2012,SIGMOD 2012,,
Seattle, USA	AIMS 2018,BigData Congress 2018,DBPL 2011,,
Seattle, WA	TPCTC 2011,,
Seoul, South Korea	SSTD 2015,IE 2017,BDTA 2016,ACML 2017,ICBEF 2017,7th ICITCS 2017,ICBBE - Ei 2017,EDB 2012,,
Seville	Robot 2017,,
Shanghai	ICUASA 2018,,
Shanghai, China	ICRAI 2017,ICIS 2017,DMCIT 2018,IEEE - ICBDA 2018,IEEE Bigcomp 2018,ACM - ICIAI 2018,ICRAE 2017,ICRAE - IEEE 2017,ICCDE 2018,ICDIP-SPIE 2018,,
Shenzhen	ISCSAI 2017,,
Shenzhen, China	CCML 2017,ICBDC 2018,IEEE HPSC 2016,,
Shiraz	AISP-2017,CSI 2017,,
